"name","types","number","percent"
"caschrono","PROM→INT",21,0.0024086463522198
"caschrono","BCODE→BCODE",14,0.0016057642348132
"caschrono","PROM→REAL",11,0.0012616718987818
"caschrono","SYM→LANG",11,0.0012616718987818
"caschrono","PROM→CLOS",5,0.000573487226718999
"caschrono","LANG→BUILTIN",2,0.0002293948906876
"colorspace","BCODE→STR",379198,22.2928086500316
"colorspace","BCODE→ENV",168626,9.91341502703135
"colorspace","BCODE→VEC",129161,7.5932928392205
"colorspace","LGL→LGL",117941,6.93367619289495
"colorspace","BCODE→NA",108884,6.40122093747869
"colorspace","BCODE→LANG",103439,6.08111285911482
"colorspace","SYM→NA",97988,5.76065204457645
"colorspace","STR→STR",89975,5.28957288352416
"colorspace","STR→NA",89318,5.2509482724158
"colorspace","LANG→ENV",69928,4.1110225351384
"colorspace","LANG→NA",49924,2.9350001293366
"colorspace","BCODE→CLOS",41333,2.42994071680694
"colorspace","BCODE→SYM",37432,2.20060341401585
"colorspace","LGL→NA",36711,2.15821628371276
"colorspace","BCODE→REAL",30719,1.80595042410646
"colorspace","BCODE→INT",16441,0.966555907507872
"colorspace","BCODE→NIL",16073,0.944921422138193
"colorspace","PROM→NA",13148,0.772962537066693
"colorspace","INT→INT",11721,0.689070116896768
"colorspace","REAL→REAL",11655,0.685190018977206
"colorspace","NIL→NIL",9538,0.560732938739133
"colorspace","LANG→REAL",8511,0.500356263536251
"colorspace","LANG→LANG",7876,0.46302501840107
"colorspace","BCODE→LGL",7337,0.43133755205798
"colorspace","LANG→INT",6540,0.384482430211148
"colorspace","BCODE→BUILTIN",6292,0.369902668331581
"colorspace","SYM→INT",5748,0.337921255176403
"colorspace","LANG→SYM",5597,0.329044061451345
"colorspace","LANG→STR",4853,0.285304775812645
"colorspace","VEC→NA",2438,0.143328465574125
"colorspace","LANG→CLOS",1583,0.0930635607070714
"colorspace","SYM→STR",1487,0.0874197819149812
"colorspace","REAL→NA",1425,0.0837748414450896
"colorspace","LANG→S4",1343,0.0789541137268458
"colorspace","ENV→ENV",1215,0.0714290753373922
"colorspace","BCODE→BCODE",1190,0.069959341276952
"colorspace","BCODE→S4",1041,0.0611997262767286
"colorspace","SYM→VEC",892,0.0524401112765052
"colorspace","SYM→ENV",875,0.0514406921154059
"colorspace","LANG→VEC",828,0.0486775920817784
"colorspace","NIL→NA",818,0.0480896984576023
"colorspace","INT→NA",680,0.0399767664439726
"colorspace","LANG→LGL",642,0.0377427706721035
"colorspace","LANG→NIL",474,0.0278661577859456
"colorspace","SYM→REAL",330,0.0194004895978102
"colorspace","SYM→LGL",324,0.0190477534233046
"colorspace","SYM→CLOS",313,0.0184010704367109
"colorspace","VEC→VEC",224,0.0131688171815439
"colorspace","PROM→STR",206,0.012110608658027
"colorspace","CLOS→CLOS",156,0.00917114053714665
"colorspace","SYM→S4",126,0.00740745966461845
"colorspace","BCODE→LIST",125,0.00734867030220084
"colorspace","PROM→REAL",95,0.00558498942967264
"colorspace","BCODE→SPECIAL",55,0.00323341493296837
"colorspace","PROM→INT",32,0.00188125959736341
"colorspace","PROM→NIL",31,0.00182247023494581
"colorspace","SYM→SYM",31,0.00182247023494581
"colorspace","SYM→NIL",26,0.00152852342285777
"colorspace","PROM→LGL",21,0.00123457661076974
"colorspace","PROM→VEC",13,0.000764261711428887
"colorspace","BCODE→EXPR",10,0.000587893624176067
"colorspace","PROM→LANG",8,0.000470314899340854
"colorspace","SYM→LANG",8,0.000470314899340854
"colorspace","PROM→CLOS",6,0.00035273617450564
